index,LU0474966081,LU0303494743
2021-04-12,320.03,186.79
2021-04-13,320.6,186.86
2021-04-14,318.2,186.39
2021-04-15,321.65,187.31
2021-04-16,322.56,186.86
2021-04-19,319.77,186.63
2021-04-20,316.84,186.47
2021-04-21,320.32,186.71
2021-04-22,317.55,186.95
2021-04-23,320.3,186.47
2021-04-26,319.99,186.14
2021-04-27,319.94,185.66
2021-04-28,319.46,185.29
2021-04-29,321.02,184.73
2021-04-30,320.68,185.35
2021-05-04,319.56,185.89
2021-05-05,320.51,186.11
2021-05-06,321.7,185.78
2021-05-07,321.89,185.02
2021-05-10,318.05,184.7
2021-05-11,315.25,184.11
2021-05-12,310.7,183.9
2021-05-14,317.68,183.65
2021-05-17,316.6,183.57
2021-05-18,312.04,183.03
2021-05-19,311.23,182.84
2021-05-20,314.53,183.16
2021-05-21,314.99,183.62
2021-05-25,316.0,183.89
2021-05-26,317.29,184.42
2021-05-27,318.09,184.03
2021-05-28,318.88,184.28
2021-06-01,317.08,183.73
2021-06-02,318.54,184.26
2021-06-03,319.24,184.42
2021-06-04,321.35,184.9
2021-06-07,320.48,184.62
2021-06-08,320.55,185.09
2021-06-09,320.0,185.58
2021-06-10,321.85,185.8
2021-06-11,324.12,186.57
2021-06-14,324.38,185.99
2021-06-15,323.68,185.94
2021-06-16,322.13,185.63
2021-06-17,326.77,187.38
2021-06-18,324.83,188.5
2021-06-21,327.86,187.41
2021-06-22,329.87,187.54
2021-06-24,330.68,187.39
2021-06-25,331.1,186.55
2021-06-28,332.55,187.36
2021-06-29,333.26,187.54
2021-06-30,335.0,188.31
2021-07-01,336.51,187.99
2021-07-02,339.78,188.74
2021-07-06,339.46,189.67
2021-07-07,341.48,190.56
2021-07-08,337.04,190.52
2021-07-09,340.55,189.72
2021-07-12,341.62,189.81
2021-07-13,341.66,190.08
2021-07-14,342.25,190.66
2021-07-15,341.15,190.9
2021-07-16,338.85,191.11
2021-07-19,333.57,192.09
2021-07-20,339.85,192.59
2021-07-21,341.89,191.5
2021-07-22,342.48,191.99
2021-07-23,346.88,192.17
2021-07-26,346.32,191.83
2021-07-27,344.18,192.07
2021-07-28,344.86,192.08
2021-07-29,343.87,191.51
2021-07-30,342.79,191.83
2021-08-02,341.47,192.23
2021-08-03,344.91,192.68
2021-08-04,343.71,192.66
2021-08-05,346.01,192.82
2021-08-06,348.92,192.57
2021-08-09,349.06,192.63
2021-08-10,350.15,192.75
2021-08-11,350.44,192.43
2021-08-12,351.82,192.53
2021-08-13,350.5,192.51
2021-08-16,351.55,192.93
2021-08-17,351.23,193.41
2021-08-18,347.65,193.43
2021-08-19,348.97,193.86
2021-08-20,351.9,193.85
2021-08-23,353.08,193.24
2021-08-24,353.0,192.92
2021-08-25,354.05,192.14
2021-08-26,351.9,192.06
2021-08-27,354.06,192.05
2021-08-31,354.58,191.66
2021-09-01,353.21,191.13
2021-09-02,353.85,191.2
2021-09-03,353.34,190.86
2021-09-07,353.18,190.39
2021-09-08,353.72,190.85
2021-09-09,351.94,191.54
2021-09-10,348.73,191.07
2021-09-13,350.25,191.4
2021-09-14,347.96,191.69
2021-09-15,350.98,191.47
2021-09-16,352.09,191.62
2021-09-17,349.66,191.34
2021-09-20,344.07,191.9
2021-09-21,343.81,192.03
2021-09-22,346.82,191.86
2021-09-23,350.56,190.8
2021-09-24,352.14,190.24
2021-09-27,351.56,190.04
2021-09-28,345.22,189.38
2021-09-29,347.5,189.86
2021-09-30,344.14,190.08
2021-10-01,347.87,190.65
2021-10-04,342.55,190.25
2021-10-05,347.11,189.67
2021-10-06,350.06,190.21
2021-10-07,352.47,189.77
2021-10-08,351.38,188.68
2021-10-12,348.87,188.39
2021-10-13,349.16,188.87
2021-10-14,354.68,189.32
2021-10-15,356.83,188.72
2021-10-18,358.16,188.56
2021-10-19,359.47,187.72
2021-10-20,360.7,187.71
2021-10-21,361.84,187.05
2021-10-22,361.44,187.52
2021-10-25,364.2,188.04
2021-10-26,365.46,188.21
2021-10-27,363.55,189.42
2021-10-28,364.61,188.34
2021-10-29,368.62,188.74
2021-11-02,370.41,188.97
2021-11-03,372.65,188.8
2021-11-04,375.51,189.93
2021-11-05,376.63,190.78
2021-11-08,375.85,190.16
2021-11-09,374.69,190.87
2021-11-10,373.81,190.09
2021-11-12,379.17,190.69
2021-11-15,379.96,190.75
2021-11-16,383.8,191.08
2021-11-17,384.29,191.48
2021-11-18,384.23,191.56
2021-11-19,384.75,192.65
2021-11-22,385.96,192.35
2021-11-23,386.02,191.23
2021-11-24,389.22,191.71
2021-11-26,376.38,192.51
