index,LU0340554673,LU0474966677,LU0386875149
2019-10-01,390.26,150.19,285.29
2019-10-02,380.7,150.03,277.03
2019-10-03,379.31,147.85,275.78
2019-10-04,384.74,148.46,279.58
2019-10-07,384.47,148.38,279.99
2019-10-08,381.74,149.01,276.9
2019-10-09,381.5,148.12,277.51
2019-10-10,383.14,147.54,278.08
2019-10-11,389.04,148.09,281.86
2019-10-15,391.04,150.27,283.67
2019-10-16,391.12,150.5,282.4
2019-10-17,391.59,148.66,283.02
2019-10-18,388.53,148.49,281.75
2019-10-21,386.96,148.65,281.84
2019-10-23,385.26,150.41,282.05
2019-10-24,384.13,150.32,283.37
2019-10-25,383.73,150.94,284.64
2019-10-28,389.59,151.11,287.3
2019-10-29,385.57,152.23,286.73
2019-10-30,384.94,152.06,286.59
2019-10-31,384.93,152.59,285.98
2019-11-05,394.51,154.8,290.54
2019-11-06,393.58,155.02,290.12
2019-11-07,393.49,155.12,292.53
2019-11-08,394.01,156.06,291.32
2019-11-11,392.38,156.59,291.3
2019-11-12,396.13,156.96,292.92
2019-11-13,394.12,156.55,291.93
2019-11-14,395.13,155.79,292.2
2019-11-15,394.16,156.31,292.36
2019-11-18,394.77,155.76,292.93
2019-11-19,394.66,155.49,293.27
2019-11-20,392.79,155.61,293.08
2019-11-21,392.33,154.93,291.27
2019-11-22,395.45,155.57,292.28
2019-11-25,398.7,156.84,295.46
2019-11-26,399.11,156.96,296.59
2019-11-27,401.28,157.33,298.24
2019-11-29,401.09,155.7,297.97
2019-12-02,395.1,156.86,294.7
2019-12-03,389.22,156.47,290.6
2019-12-04,393.3,156.23,293.67
2019-12-05,393.21,156.33,293.46
2019-12-06,398.04,156.88,296.85
2019-12-09,398.05,158.09,296.18
2019-12-10,395.31,157.66,294.82
2019-12-11,395.55,156.91,295.0
2019-12-12,397.91,156.17,296.17
2019-12-13,399.39,156.68,296.72
2019-12-16,403.71,157.27,299.12
2019-12-17,405.05,157.7,298.8
2019-12-18,407.65,157.42,299.91
2019-12-19,409.72,157.02,300.19
2019-12-20,413.32,157.29,303.31
2019-12-23,414.27,157.42,303.96
2019-12-27,414.15,156.81,303.48
2019-12-30,410.6,155.62,301.18
2019-12-31,409.27,156.16,301.07
2020-01-06,413.17,155.11,300.74
2020-01-07,418.0,157.26,302.88
2020-01-08,420.81,155.48,304.49
2020-01-09,427.39,157.19,306.82
2020-01-10,429.07,157.87,307.68
2020-01-14,429.4,157.42,308.33
2020-01-15,429.56,156.66,309.21
2020-01-16,430.24,156.14,310.5
2020-01-17,433.77,157.19,313.49
2020-01-21,431.17,157.21,312.56
2020-01-22,435.86,158.35,315.64
2020-01-23,431.61,157.65,313.32
2020-01-24,435.27,158.66,316.35
2020-01-27,423.54,157.3,308.53
2020-01-28,426.46,156.45,309.78
2020-01-29,428.86,157.17,311.49
2020-01-30,422.76,154.95,308.29
2020-01-31,420.47,155.6,306.19
2020-02-03,422.81,154.84,306.11
2020-02-04,428.43,155.07,310.63
2020-02-05,433.26,156.2,314.05
2020-02-06,438.43,159.61,315.42
2020-02-07,437.91,160.03,313.76
2020-02-10,439.4,158.92,315.05
2020-02-12,446.56,159.21,320.66
2020-02-13,447.46,159.65,321.03
2020-02-14,450.25,159.05,323.01
2020-02-18,451.71,156.17,323.4
2020-02-19,455.41,156.34,325.81
2020-02-20,453.11,154.4,324.67
2020-02-21,444.76,154.65,320.69
2020-02-25,433.64,150.97,310.37
2020-02-26,424.97,149.3,303.99
2020-02-27,407.74,145.66,291.25
2020-02-28,391.15,141.02,278.92
2020-03-02,395.15,142.59,281.28
2020-03-03,401.85,140.16,288.17
2020-03-04,403.97,140.31,289.4
2020-03-05,402.97,142.29,287.72
2020-03-06,385.24,138.37,275.14
2020-03-09,365.97,133.34,260.15
2020-03-10,369.31,132.47,261.29
2020-03-11,366.9,130.7,258.67
2020-03-12,345.04,127.7,240.48
2020-03-13,341.57,119.35,239.02
2020-03-16,330.38,117.05,229.84
2020-03-17,331.15,119.69,230.1
2020-03-18,327.57,119.74,226.57
2020-03-19,331.17,120.13,227.22
2020-03-23,324.25,120.71,220.75
2020-03-24,345.85,123.11,233.27
2020-03-25,351.63,132.11,240.37
2020-03-26,354.34,128.87,246.85
2020-03-27,347.93,135.02,242.63
2020-03-30,347.83,134.52,244.37
2020-03-31,356.28,131.92,248.16
2020-04-01,345.59,128.62,240.93
2020-04-02,346.18,127.19,239.33
2020-04-03,350.86,127.08,242.55
2020-04-06,361.74,131.02,249.49
2020-04-07,375.12,133.05,259.02
2020-04-08,367.5,135.49,254.01
2020-04-09,377.22,134.44,264.91
2020-04-14,382.27,136.94,266.44
2020-04-15,380.32,137.56,262.87
2020-04-16,384.99,136.12,262.67
2020-04-17,393.21,138.92,270.69
2020-04-20,392.18,137.23,269.24
2020-04-21,385.94,136.35,265.0
2020-04-22,387.12,134.83,265.73
2020-04-23,394.6,137.79,269.94
2020-04-24,390.33,137.23,268.05
2020-04-27,397.44,139.51,273.91
2020-04-28,398.89,139.69,278.86
2020-04-30,402.15,141.46,279.68
2020-05-07,408.41,138.79,280.99
2020-05-08,411.16,141.56,283.35
2020-05-11,412.61,142.61,282.7
2020-05-12,413.51,141.88,283.39
2020-05-13,410.34,141.85,278.93
2020-05-14,401.95,139.98,270.88
2020-05-15,408.41,140.28,276.9
2020-05-18,419.07,140.46,284.44
2020-05-19,420.01,141.0,284.52
2020-05-20,423.96,141.51,286.21
2020-05-22,421.58,140.8,286.46
2020-05-26,426.55,145.05,291.69
2020-05-27,418.76,145.69,289.01
2020-05-28,420.85,148.78,293.22
2020-05-29,416.53,146.52,290.8
2020-06-02,424.48,147.48,294.92
2020-06-03,428.91,146.81,298.49
2020-06-04,428.53,147.24,298.28
2020-06-05,429.69,145.95,300.23
2020-06-08,429.9,147.9,300.59
2020-06-09,431.33,150.17,298.69
2020-06-10,433.2,149.33,298.65
2020-06-11,428.8,146.33,290.86
2020-06-12,427.1,144.89,289.97
2020-06-15,419.94,142.21,284.54
2020-06-16,435.9,146.83,297.77
2020-06-17,438.71,147.65,298.6
2020-06-18,439.46,147.38,297.64
2020-06-19,443.55,147.98,300.8
2020-06-22,441.18,147.66,297.37
2020-06-24,442.87,147.31,296.73
2020-06-25,439.89,145.64,293.12
2020-06-26,442.78,147.51,297.02
2020-06-29,432.7,143.84,291.96
2020-06-30,441.68,144.98,296.64
2020-07-01,445.9,143.58,299.06
2020-07-02,453.27,143.33,303.11
2020-07-06,458.01,146.13,304.38
2020-07-07,460.26,145.7,304.15
2020-07-08,460.86,144.63,303.82
2020-07-09,467.36,144.46,304.87
2020-07-10,464.6,143.73,303.87
2020-07-13,468.72,146.25,306.35
2020-07-14,452.04,144.63,299.6
2020-07-15,459.58,146.51,306.49
2020-07-16,452.19,145.77,305.46
2020-07-17,453.61,144.93,307.05
2020-07-20,456.61,144.49,309.81
2020-07-21,464.38,145.13,312.52
2020-07-22,454.1,143.44,308.72
2020-07-27,442.45,143.94,302.36
2020-07-28,445.4,143.11,302.6
2020-07-29,446.17,141.57,303.39
2020-07-30,443.77,140.52,300.12
2020-07-31,446.61,136.04,301.36
2020-08-03,457.15,138.27,304.97
2020-08-04,459.28,140.21,305.17
2020-08-05,456.69,139.73,304.7
2020-08-06,456.88,139.37,305.33
2020-08-07,461.69,139.62,307.47
2020-08-11,456.03,142.79,307.33
2020-08-12,456.81,143.64,308.22
2020-08-13,456.87,144.52,308.52
2020-08-14,454.67,145.16,307.9
2020-08-17,455.07,143.78,308.7
2020-08-18,455.69,144.28,307.99
2020-08-19,454.75,144.46,307.82
2020-08-20,456.92,143.56,307.94
2020-08-21,462.62,144.74,310.04
2020-08-24,467.62,144.63,311.69
2020-08-25,468.05,145.35,312.3
2020-08-26,478.19,145.62,313.68
2020-08-27,481.45,145.13,315.2
2020-08-28,477.79,143.81,313.34
2020-08-31,472.43,144.3,312.42
2020-09-01,472.9,143.52,312.15
2020-09-02,479.96,145.02,317.79
2020-09-03,478.6,146.09,317.88
2020-09-04,464.13,144.57,309.73
2020-09-08,456.49,145.16,305.51
2020-09-09,455.37,144.43,307.48
2020-09-10,458.9,145.2,308.39
2020-09-11,453.36,145.58,305.73
2020-09-14,457.83,147.23,309.72
2020-09-15,461.74,146.47,313.84
2020-09-16,464.3,147.42,315.44
2020-09-17,454.85,148.33,312.05
2020-09-18,453.06,148.77,313.08
2020-09-23,460.19,149.55,311.47
2020-09-24,450.6,148.35,305.92
2020-09-25,451.68,148.73,306.5
2020-09-28,461.0,151.14,313.51
2020-09-29,459.4,150.94,314.07
